Citation,Type,Criteria_1,Criteria_2,Criteria_3,Criteria Met
"Akcha et al., 2020",DNA Methylation,1,,,1 - DNA methylation
"Aluru et al., 2021",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Alves et al., 2021",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Arcanjo et al., 2025",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Ardura et al, 2017",DNA Methylation,1,,,1 - DNA methylation
"Asselman et al., 2015",DNA Methylation,1,,,1 - DNA methylation
"Asselman et al., 2017",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Bachere et al., 2017",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Bal et al., 2017",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Baldanzi et al., 2022",DNA Methylation,1,,,1 - DNA methylation
"Bisanti et al., 2025",DNA Methylation,1,,1,2 - DNA methylation and phenotype 
"Bogan et al., 2020",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Brennan et al., 2025",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Chandra Rajan et al., 2021",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Chang et al., 2023",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Chatterjee et al., 2019",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Clark et al., 2018",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Cocci et al., 2021",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Cribiu et al., 2018",DNA Methylation,1,,,1 - DNA methylation
"Dang et al., 2022",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Dimond and Roberts, 2020",DNA Methylation,1,,,1 - DNA methylation
"Ding et al., 2015",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Dixon et al., 2018",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Downey-Wall et al., 2020",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Durante et al., 2019",DNA Methylation,1,,,1 - DNA methylation
"Farias et al., 2017",DNA Methylation,1,,,1 - DNA methylation
"Ferreira et al., 2025",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Galindo-Torres et al., 2024",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype "
"Gao et al., 2022",DNA Methylation,1,,,1 - DNA methylation
"García-Fernández et al., 2017",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Gawra et al., 2023",DNA Methylation,1,,1,2 - DNA methylation and phenotype 
"Green et al., 2014",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Greenshough et al., 2025",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Guo et al., 2021",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Hackerott et al., 2023",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Harney et al., 2021",DNA Methylation,1,,,1 - DNA Methylation
"Hawes et al., 2018",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Hawes et al., 2019",DNA Methylation,1,,,1 - DNA methylation
"Hearn et al., 2019",DNA Methylation,1,,,1 - DNA methylation
"Huang et al., 2017",DNA Methylation,1,,,1 - DNA methylation
"Huang et al., 2021",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Ishida-Castañeda et al., 2023",DNA Methylation,1,,,1 - DNA methylation
"Janssens et al., 2024",DNA Methylation,1,,,1 - DNA methylation
"Jeremias et al., 2018",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Jeremias et et., 2018",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Jiang et al., 2024",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Johnson and Kelly, 2019",DNA Methylation,1,,,1 - DNA methylation 
"Johnson et al., 2020",DNA Methylation,1,1,,2 - DNA methylation and gene expression 
"Johnson et al., 2021",DNA Methylation,1,1,,2 - DNA methylation and gene expression 
"Kong et al., 2017",DNA Methylation,1,,,1 - DNA methylation
"Lee et al., 2022",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Lee et al., 2023",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Lei et al., 2025",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Li et al., 2015 - also had to get off scihub",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Liew et al., 2018",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Liew et al., 2020",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Lim et al., 2021",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Liu et al., 2023",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Liu et al., 2025",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Lu et al., 2019",DNA Methylation,1,,,1 - DNA methylation
"Marsh and Pasqualone, 2014",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Müller et al., 2015",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Ni et al., 2018",DNA Methylation,1,,,1 - DNA methylation
"Ni et al., 2019",DNA Methylation,1,,,1 - DNA methylation
"Ortiz-Moriano et al., 2024",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Park et al., 2024",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Pinto et al., 2024",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Pu and Zhan, 2017",DNA Methylation,1,,,1 - DNA methylation 
"Putnam et al., 2016",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Rahman et al., 2024",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Roberto et al., 2021 - Had to get off of scihub",DNA Methylation,1,,,1 - DNA methylation
"Rodriguez-Casariego et al., 2020",DNA Methylation,1,,,1 - DNA methylation
"Rodriguez-Casariego et al., 2022",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Rodriguez-Casariego et al., 2024",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Rondon et al., 2017",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Sol Dourdin et al., 2023",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Sol Dourdin et al., 2024",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype "
"Šrut et al., 2023",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Strader et al., 2019",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Strader et al., 2020",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Suarez-Ulloa et al., 2019",DNA Methylation,1,,,1 - DNA methylation
"Sun et al., 2020",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Sun et al., 2023",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype "
"Sussarellu et al., 2018",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Tang et al., 2023",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Thonig et al., 2019",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Thorson et al., 2017",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Tran et al., 2016",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Trijau et al., 2018",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Venkataraman et al., 2020",DNA Methylation,1,,,1 - DNA methylation
"Venkataraman et al., 2022",DNA Methylation,1,,,1 - DNA methylation
"Venkataraman et al., 2024",DNA Methylation,1,,,1 - DNA methylation
"Wang et al., 2020",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Wang et al., 2021",DNA Methylation,1,,1,2 - DNA methylation and phenotype
